Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,1.24e-05,0.00016230000000000001,0.0001695
AES_CBC_Large_File,1.24e-05,0.00482,0.0036189
AES_CTR_Small_File,6e-06,0.0001571,0.00014069999999999998
AES_CTR_Large_File,6e-06,0.0038736,0.0024353
AES_CTR_256_Small_File,7e-06,0.0001671,0.0002002
AES_CTR_256_Large_File,7e-06,0.0022705,0.0037916
TripleDES_Small_File,1.5e-05,0.00022380000000000002,0.0001875
TripleDES_Large_File,1.5e-05,0.1002228,0.1010742
RSA_2048_Small_File,0.1365939,0.000715,0.0039412
RSA_2048_Large_File,0.2400441,0.7737094,3.5525293
RSA_3072_Small_File,0.402422,0.0007882999999999999,0.0078207
RSA_3072_Large_File,0.32873759999999996,0.4910285,5.843481
DSA_2048_Small_File,0.4720702,0.00066,0.0004906
DSA_2048_Large_File,0.4799846,0.002956,0.0024104
DSA_3072_Small_File,1.2503838,0.0009706000000000001,0.001004
DSA_3072_Large_File,0.6638973,0.0028699,0.0029719
