Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,9.9e-06,0.0004381,0.0004103
AES_CBC_Large_File,9.9e-06,0.014329399999999999,0.013742200000000001
AES_CTR_Small_File,6e-06,0.00021669999999999998,0.0003011
AES_CTR_Large_File,6e-06,0.0093966,0.0105744
AES_CTR_256_Small_File,6.3e-06,0.00020769999999999998,0.0002239
AES_CTR_256_Large_File,6.3e-06,0.009153,0.009927100000000001
TripleDES_Small_File,8.7e-06,0.0049872,0.0049403
TripleDES_Large_File,8.7e-06,0.3266563,0.3252527
RSA_2048_Small_File,0.19583779999999998,0.0425447,0.5538466999999999
RSA_2048_Large_File,0.1308332,0.646145,3.0658592000000002
RSA_3072_Small_File,0.2399721,0.0382102,0.953791
RSA_3072_Large_File,0.4161132,0.34034729999999996,5.258561599999999
DSA_2048_Small_File,0.1566685,0.0008104,0.0005469
DSA_2048_Large_File,0.19639220000000002,0.0072264,0.0070829
DSA_3072_Small_File,0.9170607,0.0010082000000000001,0.0008642000000000001
DSA_3072_Large_File,0.845257,0.007665,0.0072108
