Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,6.3e-06,0.0003635,0.0003012
AES_CBC_Large_File,6.3e-06,0.0119043,0.010734700000000002
AES_CTR_Small_File,7.4e-06,0.00021459999999999998,0.0001991
AES_CTR_Large_File,7.4e-06,0.0084974,0.008768100000000001
AES_CTR_256_Small_File,8.3e-06,0.0002517,0.00022219999999999998
AES_CTR_256_Large_File,8.3e-06,0.0085753,0.0076054
TripleDES_Small_File,1.34e-05,0.0026577,0.0030432
TripleDES_Large_File,1.34e-05,0.2633729,0.26527209999999996
RSA_2048_Small_File,0.1362611,0.0226266,0.29500170000000003
RSA_2048_Large_File,0.3524775,0.7653556,3.1332462999999997
RSA_3072_Small_File,0.49571570000000004,0.0187457,0.5055238
RSA_3072_Large_File,0.3409871,0.3605409,5.239762900000001
DSA_2048_Small_File,0.2037244,0.0008087000000000001,0.0006977999999999999
DSA_2048_Large_File,0.2449405,0.0056469,0.0058691
DSA_3072_Small_File,1.3747463,0.0011283,0.0010432
DSA_3072_Large_File,0.938,0.005922,0.0057383
