Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,7.2000000000000005e-06,0.0002065,0.00032710000000000004
AES_CBC_Large_File,7.2000000000000005e-06,0.005768,0.0058858
AES_CTR_Small_File,1.17e-05,0.0005007,0.00024619999999999997
AES_CTR_Large_File,1.17e-05,0.0044265,0.004061
AES_CTR_256_Small_File,8.5e-06,0.0003421,0.0002224
AES_CTR_256_Large_File,8.5e-06,0.0044654,0.0041266
TripleDES_Small_File,6.1e-06,0.0026541,0.0027600999999999997
TripleDES_Large_File,6.1e-06,0.1306227,0.1309207
RSA_2048_Small_File,0.25076570000000004,0.022596599999999998,0.28598409999999996
RSA_2048_Large_File,0.2003717,0.7203706,3.2555112999999998
RSA_3072_Small_File,0.3087924,0.019816,0.5008693
RSA_3072_Large_File,0.5355828,0.4666034,5.4210923
DSA_2048_Small_File,0.1525544,0.000735,0.0005452
DSA_2048_Large_File,0.5524026999999999,0.0034920999999999997,0.003088
DSA_3072_Small_File,0.9431546,0.0010469000000000001,0.0009276
DSA_3072_Large_File,1.3317153000000002,0.0036189,0.0033701
