Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,6.7e-06,0.0002926,0.000181
AES_CBC_Large_File,6.7e-06,0.0117097,0.0146184
AES_CTR_Small_File,2.2899999999999998e-05,0.00027039999999999996,0.0002972
AES_CTR_Large_File,2.2899999999999998e-05,0.0131277,0.0098356
AES_CTR_256_Small_File,1.7199999999999998e-05,0.0003573,0.0002319
AES_CTR_256_Large_File,1.7199999999999998e-05,0.0089944,0.0102512
TripleDES_Small_File,7.1e-06,0.0037849,0.0038134
TripleDES_Large_File,7.1e-06,0.2679532,0.2648049
RSA_2048_Small_File,0.15394370000000002,0.0339249,0.4153381
RSA_2048_Large_File,0.1130442,0.7653397,3.1383327000000003
RSA_3072_Small_File,0.4053194,0.0264327,0.7182954
RSA_3072_Large_File,0.7878824,0.4803228,5.3628608
DSA_2048_Small_File,0.7799162,0.0007891,0.0004886000000000001
DSA_2048_Large_File,0.29734320000000003,0.0055678,0.0057231
DSA_3072_Small_File,0.9695154,0.0012435,0.0008179
DSA_3072_Large_File,1.3592758999999999,0.006873,0.0060315
