SHA,SHA_256,SHA_512,SHA3_256
Text_Small_File,0.0003425,0.00034030000000000003,0.0003254
Text_Large_File,0.005111,0.010546799999999999,0.018790599999999998
Gif_Small_File,0.0003365,0.0005558,0.0006446000000000001
Gif_Large_File,0.0064048,0.0139043,0.029848799999999998
Csv_Small_File,0.00025330000000000003,0.0003528,0.0003153
Csv_Large_File,0.002,0.0042625,0.0072651999999999994
Jpg_Small_File,0.00041860000000000004,0.00042189999999999996,0.0006004
Jpg_Large_File,0.005215,0.010784799999999999,0.0192167
Mp3_Small_File,0.0006229,0.0005323,0.0005977
Mp3_Large_File,0.0028851,0.0063344,0.0094894
Mp4_Small_File,0.0005845,0.0013279000000000001,0.0017468
Mp4_Large_File,0.0052673,0.0106037,0.0249273
Pdf_Small_File,0.0003465,0.0004916,0.0005492
Pdf_Large_File,0.0052176,0.0107866,0.0189941
Zip_Small_File,0.0002519,0.0003238,0.0003288
Zip_Large_File,0.0028090999999999997,0.00558,0.0095684
