Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,1.3e-05,0.0471372,0.0001608
AES_CBC_Large_File,1.3e-05,0.013806200000000001,0.011859
AES_CTR_Small_File,9.1e-06,0.00018690000000000002,0.0002181
AES_CTR_Large_File,9.1e-06,0.0103079,0.0089831
AES_CTR_256_Small_File,1.3300000000000001e-05,0.00018380000000000002,0.0001267
AES_CTR_256_Large_File,1.3300000000000001e-05,0.0116819,0.009179
TripleDES_Small_File,1.3199999999999999e-05,0.0004201,0.0003198
TripleDES_Large_File,1.3199999999999999e-05,0.26036339999999997,0.263014
RSA_2048_Small_File,0.1856948,0.0021785,0.0261359
RSA_2048_Large_File,0.2262789,0.6675993,3.3660124
RSA_3072_Small_File,0.6061821,0.0017854000000000001,0.0407953
RSA_3072_Large_File,0.2801674,0.3663787,5.1935577
DSA_2048_Small_File,0.13460470000000002,0.0005767999999999999,0.0004477
DSA_2048_Large_File,0.17599410000000001,0.0055457,0.0056013
DSA_3072_Small_File,0.9586079000000001,0.0011403,0.0009886
DSA_3072_Large_File,2.020356,0.005939,0.0057924
