Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,1.9399999999999997e-05,0.00017109999999999998,0.0001309
AES_CBC_Large_File,1.9399999999999997e-05,0.0068931999999999995,0.0048231
AES_CTR_Small_File,5.5e-06,0.0001253,0.0001737
AES_CTR_Large_File,5.5e-06,0.0033484,0.0042457
AES_CTR_256_Small_File,8e-06,0.0001785,0.0002272
AES_CTR_256_Large_File,8e-06,0.0061804,0.006221600000000001
TripleDES_Small_File,7.7e-06,0.0001654,0.0001499
TripleDES_Large_File,7.7e-06,0.1318447,0.12849960000000002
RSA_2048_Small_File,0.1877686,0.0005438,0.0018615
RSA_2048_Large_File,0.2937607,0.8480854,3.4439857999999997
RSA_3072_Small_File,0.2998532,0.0006542999999999999,0.0047893
RSA_3072_Large_File,0.47155909999999995,0.502117,5.7139858
DSA_2048_Small_File,0.6371889000000001,0.0006086,0.0005587000000000001
DSA_2048_Large_File,0.4135831,0.0030331,0.0033771
